date,Close,Open
03/05/2024,38675.68,38709.36
02/05/2024,37845.56,38075.65
01/05/2024,38337.40,37845.56
30/04/2024,38282.16,38337.4
29/04/2024,38114.70,38282.16
26/04/2024,38052.09,38114.7
25/04/2024,38552.79,38052.09
24/04/2024,38356.07,38552.79
23/04/2024,38116.89,38356.07
22/04/2024,37801.98,38116.89
19/04/2024,37847.21,37801.98
18/04/2024,37949.67,37847.21
17/04/2024,37992.22,37949.67
16/04/2024,38319.68,37992.22
15/04/2024,38218.12,38319.68
12/04/2024,38523.26,38218.12
11/04/2024,38662.28,38523.26
10/04/2024,38983.66,38662.28
09/04/2024,38916.42,38983.66
08/04/2024,38673.00,38916.42
05/04/2024,39343.60,38673
04/04/2024,39139.59,39343.6
03/04/2024,39256.27,39139.59
02/04/2024,39807.93,39256.27
01/04/2024,39763.74,39807.93
28/03/2024,39461.98,39763.74
27/03/2024,39338.32,39461.98
26/03/2024,39410.54,39338.32
25/03/2024,39774.06,39410.54
22/03/2024,39661.03,39774.06
21/03/2024,39072.05,39661.03
20/03/2024,38834.25,39072.05
19/03/2024,38826.93,38834.25
18/03/2024,38809.65,38826.93
15/03/2024,39139.70,38809.65
14/03/2024,39090.03,39139.7
13/03/2024,38860.49,39090.03
12/03/2024,38667.21,38860.49
11/03/2024,38776.80,38667.21
08/03/2024,38784.30,38776.8
07/03/2024,38721.15,38784.3
06/03/2024,38906.98,38721.15
05/03/2024,38946.01,38906.98
04/03/2024,38989.51,38946.01
01/03/2024,39013.75,38989.51
29/02/2024,38938.08,39013.75
28/02/2024,39087.90,38938.08
27/02/2024,39165.13,39087.9
26/02/2024,39127.97,39165.13
23/02/2024,38852.13,39127.97
22/02/2024,38491.20,38852.13
21/02/2024,38552.00,38491.2
20/02/2024,38751.71,38552
16/02/2024,38397.94,38751.71
15/02/2024,38372.67,38397.94
14/02/2024,38699.17,38372.67
13/02/2024,38656.76,38699.17
12/02/2024,38731.97,38656.76
09/02/2024,38702.11,38731.97
08/02/2024,38613.89,38702.11
07/02/2024,38380.75,38613.89
06/02/2024,38546.77,38380.75
05/02/2024,38448.10,38546.77
02/02/2024,38175.34,38448.1
01/02/2024,38426.78,38175.34
31/01/2024,38298.23,38426.78
30/01/2024,38111.53,38298.23
29/01/2024,38006.68,38111.53
26/01/2024,37862.57,38006.68
25/01/2024,37975.37,37862.57
24/01/2024,37959.79,37975.37
23/01/2024,37947.33,37959.79
22/01/2024,37611.50,37947.33
19/01/2024,37191.75,37611.5
18/01/2024,37281.86,37191.75
17/01/2024,37498.37,37281.86
16/01/2024,37818.05,37498.37
12/01/2024,37747.14,37818.05
11/01/2024,37552.91,37747.14
10/01/2024,37473.90,37552.91
09/01/2024,37321.12,37473.9
08/01/2024,37438.56,37321.12
05/01/2024,37425.28,37438.56
04/01/2024,37585.64,37425.28
03/01/2024,37499.54,37585.64
02/01/2024,37701.63,37499.54
29/12/2023,37661.52,37701.63
28/12/2023,37518.62,37661.52
27/12/2023,37405.90,37518.62
26/12/2023,37349.27,37405.9
22/12/2023,37264.53,37349.27
21/12/2023,37520.13,37264.53
20/12/2023,37311.82,37520.13
19/12/2023,37323.65,37311.82
18/12/2023,37194.50,37323.65
15/12/2023,37115.63,37194.5
14/12/2023,36580.03,37115.63
13/12/2023,36442.10,36580.03
12/12/2023,36274.85,36442.1
11/12/2023,36084.82,36274.85
08/12/2023,36124.17,36084.82
07/12/2023,36183.73,36124.17
06/12/2023,36097.44,36183.73
05/12/2023,36039.24,36097.44
04/12/2023,35914.45,36039.24
01/12/2023,35596.57,35914.45
30/11/2023,35436.80,35596.57
29/11/2023,35332.13,35436.8
28/11/2023,35376.44,35332.13
27/11/2023,35299.90,35376.44
24/11/2023,35189.33,35299.9
22/11/2023,35113.50,35189.33
21/11/2023,34928.27,35113.5
20/11/2023,35018.83,34928.27
17/11/2023,34877.25,35018.83
16/11/2023,34896.86,34877.25
15/11/2023,34662.83,34896.86
14/11/2023,34243.14,34662.83
13/11/2023,34048.02,34243.14
10/11/2023,34163.71,34048.02
09/11/2023,34192.84,34163.71
08/11/2023,34069.56,34192.84
07/11/2023,34085.31,34069.56
06/11/2023,33979.89,34085.31
03/11/2023,33468.04,33979.89
02/11/2023,33081.87,33468.04
01/11/2023,33029.11,33081.87
31/10/2023,32651.69,33029.11
30/10/2023,32772.91,32651.69
27/10/2023,33013.92,32772.91
26/10/2023,33203.53,33013.92
25/10/2023,33089.64,33203.53
24/10/2023,32995.76,33089.64
23/10/2023,33360.52,32995.76
20/10/2023,33684.83,33360.52
19/10/2023,33945.69,33684.83
18/10/2023,33856.81,33945.69
17/10/2023,33863.01,33856.81
16/10/2023,33743.35,33863.01
13/10/2023,33845.65,33743.35
12/10/2023,33819.47,33845.65
11/10/2023,33691.45,33819.47
10/10/2023,33289.42,33691.45
09/10/2023,33040.70,33289.42
06/10/2023,33099.23,33040.7
05/10/2023,33034.18,33099.23
04/10/2023,33301.70,33034.18
